,date,open,close,high,low,volume,money
230,2021-12-14,3846.57,3837.9,3848.56,3830.69,36177227200.0,487017913426.0
231,2021-12-15,3831.12,3823.12,3844.96,3820.6,37713412300.0,480391917656.0
232,2021-12-16,3824.5,3851.9,3851.9,3820.08,38094513100.0,465394529737.0
233,2021-12-17,3846.89,3807.11,3850.52,3806.4,40802973200.0,491382720131.0
234,2021-12-20,3794.18,3766.39,3819.3,3761.94,42340696700.0,491311897847.0
235,2021-12-21,3764.15,3799.38,3801.38,3764.15,40777872100.0,427945815203.0
236,2021-12-22,3807.31,3796.52,3810.55,3790.15,39442089700.0,431823499868.0
237,2021-12-23,3799.54,3818.35,3818.46,3791.72,38258775600.0,449526772544.0
238,2021-12-24,3820.56,3791.82,3824.29,3785.5,39000028900.0,475796857888.0
239,2021-12-27,3786.58,3789.51,3806.68,3774.73,32890829900.0,407138279047.0
240,2021-12-28,3793.38,3804.29,3805.32,3780.43,31589097800.0,408392816320.0
241,2021-12-29,3805.12,3769.55,3805.12,3768.85,30486717000.0,410085339462.0
242,2021-12-30,3769.0,3792.8,3803.1,3767.96,30764131900.0,413657758438.0
243,2021-12-31,3800.16,3814.3,3817.52,3798.82,32936581400.0,433211424053.0
244,2022-01-04,3824.18,3806.5,3827.0,3783.15,40463454500.0,510003130368.0
245,2022-01-05,3802.23,3767.52,3802.23,3755.22,42348112600.0,538639436288.0
246,2022-01-06,3752.88,3757.99,3766.86,3730.49,37116495200.0,474008321925.0
247,2022-01-07,3761.04,3751.34,3780.28,3748.77,43605606900.0,502650145370.0
248,2022-01-10,3744.22,3766.03,3766.03,3725.8,35601325800.0,443197215500.0
249,2022-01-11,3762.26,3738.63,3774.99,3733.68,35950059800.0,441087459000.0
250,2022-01-12,3749.86,3770.09,3772.31,3743.48,34286082800.0,435611977800.0
251,2022-01-13,3773.87,3725.74,3773.95,3725.64,36910549000.0,456774977900.0
252,2022-01-14,3713.99,3689.96,3718.54,3687.93,37673054600.0,463029521400.0
